Timestamp: 2025-09-30 14:29:52
Filename: 73135--0929047685_2025-04-15_11-50.wav
Detected Language: zh

[00:00:00.900 -- 00:00:01.300] 喂
[00:00:01.860 -- 00:00:04.400] 請問是賴蓮之小姐本人嗎
[00:00:04.400 -- 00:00:05.160] 這邊國泰人士
[00:00:05.740 -- 00:00:06.780] 打擾了
[00:00:06.780 -- 00:00:09.039] 昨天有服務人員叫蘇春梅
[00:00:09.039 -- 00:00:11.339] 有幫您做保單要部分提令
[00:00:12.140 -- 00:00:13.140] 對那不好意思
[00:00:13.140 -- 00:00:14.240] 因爲需要電話確認
[00:00:14.240 -- 00:00:16.440] 大概三分鐘您有方便嗎
[00:00:16.440 -- 00:00:17.019] 可以
[00:00:17.019 -- 00:00:17.859] 謝謝您
[00:00:17.859 -- 00:00:18.600] 好謝謝
[00:00:18.600 -- 00:00:21.579] 那這邊是賴蓮之賴小姐本人對嗎
[00:00:21.579 -- 00:00:21.920] 對
[00:00:21.920 -- 00:00:22.879] 好謝謝賴小姐
[00:00:22.879 -- 00:00:25.800] 我們這邊是國泰人士的高雄保全作業科
[00:00:25.800 -- 00:00:28.320] 我是客服專員杜欣怡您好
[00:00:28.320 -- 00:00:30.460] 那因爲有收到業務人員蘇春梅
[00:00:30.460 -- 00:00:33.560] 有在昨天上午幫您受理保單部分提令
[00:00:33.560 -- 00:00:35.159] 所以打電話來確認
[00:00:35.159 -- 00:00:37.619] 耽誤幾分鐘時間跟您做個核對
[00:00:38.020 -- 00:00:38.420] 謝謝
[00:00:38.420 -- 00:00:39.619] 那爲保障您權益
[00:00:39.619 -- 00:00:41.659] 我們通話內容全程錄音
[00:00:41.659 -- 00:00:44.380] 首先先跟您覈對一下您基本資料
[00:00:44.380 -- 00:00:45.780] 請問身份證英文
[00:00:45.780 -- 00:00:48.659] K開頭數字200後面多少呢
[00:00:49.200 -- 00:00:50.659] 422624
[00:00:50.659 -- 00:00:51.320] 謝謝您
[00:00:51.320 -- 00:00:53.679] 生日民國34年幾月幾號
[00:00:54.200 -- 00:00:55.299] 2月8號
[00:00:55.299 -- 00:00:55.820] 謝謝您
[00:00:55.820 -- 00:00:58.299] 那賴小姐您地址在高雄市的哪邊呢
[00:00:58.320 -- 00:00:59.979] 谷山區
[00:01:01.179 -- 00:01:03.939] 谷山區赴農路122號8樓
[00:01:03.939 -- 00:01:05.439] 好謝謝您資料都正確
[00:01:05.439 -- 00:01:08.060] 那手機0929047685
[00:01:08.719 -- 00:01:09.019] 對
[00:01:09.019 -- 00:01:14.159] 您電子信箱之前有留一個電子信箱賬號是多少還記得嗎
[00:01:14.159 -- 00:01:16.200] 我現在沒有電子信箱了
[00:01:16.200 -- 00:01:17.659] 我給它弄掉了
[00:01:17.659 -- 00:01:18.319] 這樣子
[00:01:18.319 -- 00:01:19.299] 那我跟您確定
[00:01:19.299 -- 00:01:22.939] 因爲之前確實我們就是沒有寄電子郵件給您
[00:01:22.939 -- 00:01:24.500] 但是還是有留這個資料
[00:01:25.920 -- 00:01:28.260] LAILAOSS
[00:01:28.260 -- 00:01:28.840] HI
[00:01:28.840 -- 00:01:31.719] 數字123小老鼠gmail.com
[00:01:31.719 -- 00:01:34.219] 那現在都完全沒有再使用了對嗎
[00:01:34.219 -- 00:01:35.680] 我沒有沒有沒有了
[00:01:35.680 -- 00:01:39.219] 好那還是我電話這邊直接幫您都整個刪除掉這個資料
[00:01:39.219 -- 00:01:40.700] 都不要留到這個資料
[00:01:40.700 -- 00:01:41.359] 好
[00:01:41.359 -- 00:01:41.659] 好
[00:01:41.659 -- 00:01:45.200] 那透過電話管那個方式幫您刪除email信箱的資料
[00:01:45.200 -- 00:01:45.780] 不好意思
[00:01:45.780 -- 00:01:46.620] 謝謝
[00:01:46.620 -- 00:01:48.260] 那賴小姐跟您關心一下
[00:01:48.260 -- 00:01:51.280] 最近一個月內有沒有再改過地址
[00:01:51.280 -- 00:01:54.439] 或是做那個保單補發的申請過呢
[00:01:54.439 -- 00:01:55.439] 沒有呢
[00:01:55.439 -- 00:01:56.200] 都完全沒有
[00:01:56.200 -- 00:01:57.819] 所以都照舊沒錯吼
[00:01:57.819 -- 00:01:58.439] 對
[00:01:58.439 -- 00:01:59.280] 好謝謝您
[00:01:59.280 -- 00:02:01.480] 那爲求勝狀覈對申請的內容
[00:02:01.480 -- 00:02:02.840] 跟賴小姐關心確認
[00:02:02.840 -- 00:02:05.819] 這次做這個部分提領的用途是爲什麼呢
[00:02:06.939 -- 00:02:08.099] 沒有啦就是
[00:02:08.659 -- 00:02:12.439] 我覺得有可以提領就因爲來做零用錢啊
[00:02:12.439 -- 00:02:13.719] 生活費都可以啊
[00:02:13.719 -- 00:02:14.620] 生活費什麼的
[00:02:14.620 -- 00:02:16.479] 就是放現金在身邊啦
[00:02:16.479 -- 00:02:17.740] 我來接您的意思
[00:02:17.740 -- 00:02:18.400] 好
[00:02:18.400 -- 00:02:20.060] 那跟您確認一下
[00:02:20.060 -- 00:02:22.860] 這邊的話部分提領就是個人資金調度需求
[00:02:22.860 -- 00:02:25.300] 可能平常有一些生活費會使用
[00:02:25.300 -- 00:02:27.800] 那目前事實上我們是沒有扣除您的
[00:02:27.819 -- 00:02:30.360] 任何的手續費跟贖回費用款
[00:02:30.360 -- 00:02:33.719] 給付金額的部分大概是十六萬八千多元哦
[00:02:34.139 -- 00:02:34.539] 好
[00:02:34.539 -- 00:02:37.419] 好那實際金額以當天匯入給您的爲主
[00:02:37.419 -- 00:02:40.120] 那預計需要三到五個工作天
[00:02:40.120 -- 00:02:43.780] 如果遇到國內外的假日則會在順延哦
[00:02:43.780 -- 00:02:44.259] 好
[00:02:44.259 -- 00:02:48.500] 是那跟您確認部分提領的金額您需要匯到哪一個行庫呢
[00:02:48.500 -- 00:02:51.900] 我就是國泰世華我有給他的
[00:02:51.900 -- 00:02:55.539] 那分行您當初是在哪間開戶的有印象嗎
[00:02:55.539 -- 00:02:57.199] 好像在寧亞分行的耶
[00:02:57.199 -- 00:02:57.800] 是那就是國泰世華我有給他的哦那分行您當初是在哪間開戶的有印象嗎
[00:02:57.800 -- 00:02:57.800] 
[00:03:00.000 -- 00:03:02.580] 好像在寧亞分行的耶
[00:03:02.580 -- 00:03:03.300] 對對
[00:03:03.840 -- 00:03:05.419] 好那注意事項跟您做個提醒
[00:03:05.419 -- 00:03:08.780] 因爲計算實際金額使使用的淨值跟匯率
[00:03:08.780 -- 00:03:10.800] 與受理當下試算時有不同
[00:03:10.800 -- 00:03:14.740] 當市場波動大時實際金額與前述說的試算金額
[00:03:14.740 -- 00:03:17.139] 可能會有明顯的差異哦
[00:03:17.139 -- 00:03:21.639] 是那保單提領之後可能會因爲投資市場的變化
[00:03:21.639 -- 00:03:25.120] 使保單帳戶價值產生波動而造成停銷的風險
[00:03:25.120 -- 00:03:27.580] 那若是以這個部分提領的金額
[00:03:27.800 -- 00:03:29.620] 再去投保傳統型的外幣
[00:03:29.620 -- 00:03:32.580] 或是投資型結構在新契約時
[00:03:32.580 -- 00:03:35.860] 仍需注意投保新契約的匯率風險喔
[00:03:35.860 -- 00:03:36.560] 喔好
[00:03:36.560 -- 00:03:38.580] 是 那再次跟賴小姐確認
[00:03:38.580 -- 00:03:41.199] 確定辦理保單做部分提領對嗎
[00:03:41.659 -- 00:03:42.020] 對
[00:03:42.020 -- 00:03:44.219] 確定 那申請文件是平板簽名
[00:03:44.219 -- 00:03:46.300] 是您自己有親自簽名嗎
[00:03:46.300 -- 00:03:46.740] 有
[00:03:46.740 -- 00:03:48.979] 好 瞭解 那跟您再關心一下喔
[00:03:48.979 -- 00:03:51.439] 因為最近詐騙事件真的太多了
[00:03:51.439 -- 00:03:53.740] 那如果有他人要求您動用資金
[00:03:53.740 -- 00:03:56.500] 建議不打165的反詐騙專線求證
[00:03:56.500 -- 00:03:58.900] 那也不能將存摺的帳號密碼
[00:03:58.900 -- 00:04:00.280] 交由他人保管
[00:04:00.280 -- 00:04:02.599] 或是跟業務人員有私下資金往來
[00:04:02.599 -- 00:04:04.479] 以維護您的權益喔
[00:04:04.479 -- 00:04:05.599] 喔好 是的
[00:04:05.599 -- 00:04:07.240] 是 那賴小姐再次確認資料都對
[00:04:07.240 -- 00:04:09.080] 簽名您自己簽的都對喔
[00:04:09.080 -- 00:04:09.699] 對
[00:04:09.699 -- 00:04:10.360] 好 謝謝
[00:04:10.360 -- 00:04:12.659] 那感謝您的配合會盡速辦理完成喔
[00:04:12.659 -- 00:04:14.099] 打擾了 祝您順心
[00:04:14.099 -- 00:04:14.460] 好 謝謝
[00:04:14.460 -- 00:04:15.319] 好 謝謝 再見
[00:04:15.960 -- 00:04:16.600] 好 謝謝
